Sample	Date	C (%)	N (%)	O (%)	Na (PPM)	Mg (PPM)	Al (PPM)	Si (PPM)	P	S	Cl (PPM)	K (PPM)	Ca (PPM)	Mn (PPM)	Fe (PPM)	Cu (PPM)	As (PPM)	C (Int)	N (Int)	O (Int)	Na (Int)	Mg (Int)	Al (Int)	Si (Int)	P (Int)	S (Int)	Cl (Int)	K (Int)	Ca (Int)	Mn (Int)	Fe (Int)	Cu (Int)	As (Int)	
2ANSp6_144UZ	09.01.2020 16:57:20	40613037,50	12,94	1,37	351	282	7	4	0,27 %	0,13 %	320	2	4	5	1	0	0	53,3739	0,4638	3,0223	10,2743	4,0308	30,8984	5,7896	0,8093	3,7515	13,2929	0,6886	0,6700	0,1990	0,7238	0,9014	1,1177	
2ANSp7_169	09.01.2020 17:47:01	45992168,75	12,02	1,29	18	47	8	1	414 PPM	138 PPM	34	1	2	6	1	0	0	59,9147	0,4306	2,8325	0,5366	0,6708	34,0138	1,8723	0,1237	0,4055	1,4063	0,2392	0,4311	0,2133	0,7364	0,8847	1,1270	
2ANSp7_170	09.01.2020 17:59:16	45512543,75	11,92	1,29	84	97	8	1	456 PPM	318 PPM	161	1	5	6	2	0	0	59,3315	0,4270	2,8321	2,4670	1,3846	33,7494	2,2980	0,1361	0,9362	6,7038	0,3730	0,8069	0,2128	0,9163	0,8308	1,0773	
2ANSp7_171	09.01.2020 18:11:30	46389562,50	12,25	1,28	14	44	7	1	417 PPM	130 PPM	30	1	3	6	1	0	0	60,3979	0,4388	2,8175	0,3963	0,6258	31,8067	1,8783	0,1245	0,3817	1,2366	0,2587	0,4328	0,2100	0,7387	0,9264	1,0877	
2ANSp7_172	09.01.2020 18:23:46	45371853,13	11,95	1,28	73	90	7	2	454 PPM	343 PPM	183	1	3	6	2	0	0	59,1604	0,4282	2,8282	2,1440	1,2797	31,0608	2,7439	0,1358	1,0082	7,5981	0,4139	0,4995	0,2145	0,8733	0,8195	1,0741	
2ANSp7_173	09.01.2020 18:36:05	45723050,00	11,87	1,29	55	79	7	2	469 PPM	287 PPM	154	1	4	6	2	0	0	59,5874	0,4254	2,8496	1,6238	1,1313	32,5018	3,1932	0,1401	0,8428	6,3949	0,3855	0,7699	0,2248	0,8251	0,9025	1,1496	
2ANSp7_174	09.01.2020 18:48:22	45686590,63	11,88	1,30	73	90	7	2	460 PPM	315 PPM	159	1	3	6	2	0	0	59,5431	0,4255	2,8683	2,1317	1,2888	32,1554	2,7332	0,1375	0,9260	6,6012	0,3974	0,4877	0,2189	0,8383	0,9237	1,1381	
2ANSp7_175	09.01.2020 19:00:37	45259125,00	12,13	1,34	25	87	8	3	638 PPM	170 PPM	32	2	4	6	2	0	0	59,0233	0,4347	2,9549	0,7194	1,2434	34,7249	4,5010	0,1906	0,4985	1,3335	0,5149	0,6102	0,2344	1,2116	0,8699	1,0841	
2ANSp7_176	09.01.2020 19:13:41	45000618,75	11,98	1,35	17	91	8	3	694 PPM	162 PPM	25	2	3	7	3	0	0	58,7090	0,4290	2,9743	0,4874	1,2944	34,3997	5,4131	0,2073	0,4753	1,0370	0,5930	0,5887	0,2415	1,3573	0,9648	1,1149	
2ANSp7_177	09.01.2020 19:25:58	44482237,50	11,85	1,34	96	133	8	3	681 PPM	319 PPM	135	2	4	7	2	0	0	58,0787	0,4246	2,9548	2,7942	1,8944	34,3827	4,9560	0,2035	0,9394	5,6181	0,6513	0,6587	0,2500	1,2770	0,8903	1,0955	
2ANSp7_178	09.01.2020 19:38:18	44744868,75	11,93	1,31	84	117	7	2	555 PPM	372 PPM	206	1	9	6	2	0	0	58,3980	0,4273	2,8786	2,4656	1,6757	32,4514	3,7892	0,1657	1,0952	8,5591	0,4423	1,5903	0,2283	0,8497	0,9193	1,0942	
2ANSp7_179	09.01.2020 19:50:34	46549137,50	12,08	1,27	24	38	7	2	498 PPM	154 PPM	34	1	3	6	2	0	0	60,5919	0,4327	2,7943	0,6990	0,5415	32,4587	2,4534	0,1488	0,4533	1,4313	0,3110	0,4542	0,2173	0,8575	0,8749	1,0557	
2ANSp7_180	09.01.2020 20:02:53	44815840,63	11,91	1,32	78	108	7	3	646 PPM	366 PPM	156	1	3	6	2	0	0	58,4843	0,4267	2,9092	2,2928	1,5414	31,5538	4,5104	0,1930	1,0772	6,4976	0,4705	0,5809	0,2314	1,0090	0,9637	1,1414	
2ANSp7_181	09.01.2020 20:15:15	44713921,88	12,10	1,35	51	73	7	4	899 PPM	316 PPM	61	1	3	6	1	0	0	58,3604	0,4336	2,9788	1,4905	1,0404	28,8219	5,6465	0,2687	0,9303	2,5504	0,2569	0,4548	0,2324	0,6477	0,9191	1,1558	
2ANSp7_182	09.01.2020 20:27:35	43500081,25	11,94	1,34	207	171	7	3	898 PPM	562 PPM	258	1	4	6	1	0	0	56,8844	0,4277	2,9531	6,0630	2,4481	31,5675	4,9861	0,2684	1,6534	10,7265	0,4509	0,6742	0,2252	0,6451	0,9134	1,1347	
2ANSp7_183	09.01.2020 20:39:55	42906746,88	12,17	1,35	254	213	7	3	989 PPM	680 PPM	316	2	4	6	1	0	0	56,1629	0,4359	2,9684	7,4181	3,0460	31,5107	5,4367	0,2954	1,9986	13,1402	0,5219	0,7283	0,2240	0,6869	0,9018	1,1284	
2AEN023	06.01.2020 17:10:47	45403696,88	12,20	1,31	55	81	8	2	748 PPM	282 PPM	88	1	3	6	2	0	0	59,1991	0,4371	2,8838	1,5995	1,1625	33,2951	2,7701	0,2235	0,8303	3,6721	0,3768	0,4853	0,2061	0,8549	0,8818	1,0941	
2AEN024	06.01.2020 17:42:01	45654131,25	12,42	1,30	31	63	8	2	771 PPM	229 PPM	48	1	2	6	2	0	0	59,5036	0,4450	2,8653	0,9151	0,9002	33,2999	2,6165	0,2303	0,6729	2,0138	0,2963	0,4097	0,2149	0,7863	0,8920	1,1304	
