"","Sample","Date.x","C","N","O","Na","Mg","Al","Si","P","S","Cl","K","Ca","Mn","Fe","Cu","As","Filter_type","Filter_size","Filter_box_nr","Filter_blank","Volume","Date.y","Day","Treatment"
"1","COM001","04.12.2019 10:16:35",58.0957,0.438,2.9889,0.4874,1.796,32.3646,5.6097,0.3945,1.0494,1.0383,0.536,6.6932,0.2218,2.3121,0.9362,1.13,"PC",0.8,1,NA,1000,2019-10-05,0,"K1"
"2","COM002","04.12.2019 10:28:50",54.2361,0.4313,3.3708,1.1547,4.3948,37.2398,17.5392,0.5557,1.538,1.8231,1.6871,15.9978,0.2655,4.8717,0.99,1.1368,"PC",0.8,1,NA,1000,2019-10-05,0,"K2"
"3","COM003","04.12.2019 10:41:07",59.0261,0.4458,2.8878,0.4234,1.2589,33.6267,2.6512,0.3778,0.9904,1.2301,0.3127,2.569,0.2036,1.2718,0.9044,1.143,"PC",0.8,1,NA,1000,2019-10-05,0,"K3"
"4","COM004","09.12.2019 10:31:11",0.6732,0.2268,14.299,107.0343,14.3273,78.0748,678.8313,0.2343,1.7287,7.4363,136.3577,74.1335,1.5471,10.4911,6.1234,4.7973,"PC",0.8,1,NA,1000,2019-10-05,0,"NPC1"
"5","COM005","09.12.2019 10:42:29",0.6898,0.2303,14.1138,107.2324,15.6295,77.6449,670.3665,0.2542,2.1778,14.771,133.4297,73.2044,1.5635,10.3545,6.2003,4.8308,"PC",0.8,1,NA,1000,2019-10-05,0,"NPC2"
"6","COM006","09.12.2019 10:53:21",0.5193,0.2283,14.4174,107.3082,12.6918,78.3077,681.2928,0.2312,1.4988,8.7548,134.7781,69.7336,1.5514,9.317,6.1825,4.8365,"PC",0.8,1,NA,1000,2019-10-05,0,"NPC3"
"7","COM007","09.12.2019 11:05:37",59.4081,0.4512,2.8748,0.597,1.153,31.8134,3.5226,0.387,0.9754,1.0996,0.3453,3.0616,0.2154,1.6794,0.9053,1.164,"PC",0.8,1,NA,1000,2019-10-05,0,"uZ1"
"8","COM008","09.12.2019 11:17:52",59.1417,0.4463,2.8769,0.6049,1.3433,32.5224,2.9757,0.3923,1.0278,1.0308,0.3377,3.1299,0.2175,1.4925,0.8511,1.0918,"PC",0.8,1,NA,1000,2019-10-05,0,"uZ2"
"9","COM009","09.12.2019 11:30:12",59.8983,0.4432,2.839,0.6848,0.9063,31.1494,1.876,0.3801,0.9509,1.4341,0.2533,1.019,0.2059,1.1234,0.9187,1.154,"PC",0.8,1,NA,1000,2019-10-05,0,"uZ3"
"10","COM010","09.12.2019 11:41:06",0.6498,0.2295,14.3225,107.4832,14.7198,78.4074,679.9182,0.2358,2.0198,8.825,135.7075,70.8004,1.5652,11.9047,6.1454,4.7874,"GFF",NA,1,NA,1000,2019-10-05,0,"K1"
"11","COM011","09.12.2019 11:51:58",0.6759,0.2286,14.1515,108.8952,18.1272,77.807,670.9325,0.2451,3.3495,20.2849,134.6018,69.9168,1.5611,10.7292,6.1706,4.8323,"GFF",NA,1,NA,1000,2019-10-05,0,"K2"
"12","COM012","09.12.2019 12:02:52",0.6271,0.2306,14.3217,108.421,15.3998,78.0292,679.9069,0.2373,2.326,12.1035,135.6496,68.9015,1.5613,10.3301,6.2383,4.8835,"GFF",NA,1,NA,1000,2019-10-05,0,"K3"
"13","COM013","09.12.2019 12:15:04",57.2013,0.4284,2.9146,0.6467,1.4214,42.7505,2.7208,0.1598,1.1734,1.1603,0.2646,2.9711,0.1791,1.6619,0.8107,1.058,"GFF",NA,1,NA,1000,2019-10-05,0,"NPC1"
"14","COM014","09.12.2019 12:27:34",57.0762,0.4312,2.8459,1.0479,1.1626,42.2753,1.4834,0.1461,0.9288,1.6329,0.2332,1.2121,0.1731,0.7526,0.7831,1.0367,"GFF",NA,1,NA,1000,2019-10-05,0,"NPC2"
"15","COM015","09.12.2019 12:39:47",57.4339,0.4332,2.9082,0.8432,1.1505,40.6631,2.2882,0.1525,0.9215,1.3924,0.2602,1.4732,0.187,0.9924,0.8529,1.0685,"GFF",NA,1,NA,1000,2019-10-05,0,"NPC3"
"16","COM016","09.12.2019 12:52:00",55.9248,0.4267,2.9032,5.4309,2.4774,42.0959,3.4151,0.1709,1.4654,6.5812,0.4948,2.3948,0.1778,0.9655,0.7977,1.0423,"GFF",NA,1,NA,1000,2019-10-05,0,"uZ1"
"17","COM017","09.12.2019 13:04:14",57.5037,0.4288,2.8527,0.6361,1.2085,44.3523,1.6391,0.1444,0.811,1.159,0.2343,1.5373,0.1713,0.7885,0.8108,1.0318,"GFF",NA,1,NA,1000,2019-10-05,0,"uZ2"
"18","COM018","09.12.2019 13:16:28",57.2997,0.4307,2.9191,0.8045,2.8797,40.5203,2.6796,0.1462,0.9121,1.5482,0.215,2.237,0.1819,0.7399,0.8354,1.0713,"GFF",NA,1,NA,1000,2019-10-05,0,"uZ3"
"19","COM019","09.12.2019 13:28:41",56.3685,0.427,2.9553,0.8099,2.0318,42.2587,4.4218,0.1702,1.1002,1.2437,0.4286,5.1048,0.1889,1.4959,0.8141,1.064,"PC",0.8,1,NA,1000,2019-10-07,1,"K1"
"20","COM020","09.12.2019 13:40:54",57.447,0.4349,2.8782,0.8117,1.4629,43.0731,1.6777,0.1476,0.9493,1.5064,0.2252,1.6568,0.1798,1.2484,0.8081,1.0135,"PC",0.8,1,NA,1000,2019-10-07,1,"K2"
"21","COM021","09.12.2019 13:53:28",57.2259,0.4233,2.9056,0.291,2.4538,43.3426,2.3906,0.1285,0.7654,0.8318,0.1977,1.9886,0.1756,0.7043,0.8652,1.0186,"PC",0.8,1,NA,1000,2019-10-07,1,"K3"
"22","COM022","09.12.2019 14:04:22",0.5853,0.2304,14.0987,107.3343,17.5216,77.0834,669.3607,0.2289,3.6749,23.5154,132.5776,68.2786,1.5546,8.8315,6.1615,4.8867,"PC",0.8,1,NA,1000,2019-10-07,1,"NPC1"
"23","COM023","09.12.2019 14:15:16",0.5426,0.2267,14.1763,107.4036,17.2783,77.4358,673.3987,0.2282,3.0837,22.7324,132.6991,67.3041,1.5358,8.646,6.1929,4.8851,"PC",0.8,1,NA,1000,2019-10-07,1,"NPC2"
"24","COM024","09.12.2019 14:26:07",0.5931,0.2312,14.2205,106.6161,15.9953,77.497,675.3307,0.2419,2.9366,14.5221,134.1991,68.3542,1.5411,9.1111,6.1421,4.8066,"PC",0.8,1,NA,1000,2019-10-07,1,"NPC3"
"25","COM025","09.12.2019 14:37:03",0.6011,0.2324,14.1046,107.3049,19.0578,77.1926,670.4196,0.2521,3.5383,27.4039,132.5236,67.5257,1.5404,8.8671,6.1699,4.8479,"PC",0.8,1,NA,1000,2019-10-07,1,"uZ1"
"26","COM026","09.12.2019 14:47:57",0.5215,0.2262,14.3613,107.2643,13.4669,78.3154,681.4759,0.2233,1.9958,9.1124,134.6289,68.5353,1.5429,8.6327,6.1219,4.7716,"PC",0.8,1,NA,1000,2019-10-07,1,"uZ2"
"27","COM027","09.12.2019 14:58:53",0.5667,0.233,14.1379,107.9104,20.2253,76.9535,670.3899,0.2321,3.2226,23.2562,132.6587,68.1752,1.5322,8.5724,6.1791,4.8261,"PC",0.8,1,NA,1000,2019-10-07,1,"uZ3"
"28","COM028","09.12.2019 15:09:47",0.7104,0.2316,14.1083,106.8576,17.2631,77.6644,672.3655,0.2537,3.0736,18.1621,133.2807,71.9738,1.5541,9.4171,6.1543,4.8229,"GFF",NA,1,NA,1000,2019-10-07,1,"K1"
"29","COM029","09.12.2019 15:20:42",0.6168,0.2321,14.118,106.8616,16.3228,77.0751,667.2466,0.2492,2.7991,15.5809,134.4678,68.4242,1.5436,9.66,6.1123,4.7886,"GFF",NA,1,NA,1000,2019-10-07,1,"K2"
"30","COM030","09.12.2019 15:31:38",0.5627,0.2311,14.0124,107.7797,19.8205,75.826,655.1707,0.2484,3.5167,28.401,132.0269,67.78,1.5345,9.371,6.1699,4.8567,"GFF",NA,1,NA,1000,2019-10-07,1,"K3"
"31","COM031","09.12.2019 15:43:51",53.5045,0.3952,2.5772,0.9768,0.9634,45.6577,1.8834,0.1125,0.4895,2.075,0.229,1.218,0.1744,0.8871,0.9197,1.0951,"GFF",NA,1,NA,1000,2019-10-07,1,"NPC1"
"32","COM032","09.12.2019 15:56:11",57.3443,0.44,2.9196,0.7768,1.172,27.4171,6.0837,0.1458,0.6375,1.2682,0.3455,3.1174,0.2836,5.7409,1.003,1.1876,"GFF",NA,1,NA,1000,2019-10-07,1,"NPC2"
"33","COM033","09.12.2019 16:08:33",59.2021,0.4454,2.9434,0.443,1.2313,31.4875,5.6528,0.1787,0.6118,0.7809,0.3254,2.6939,0.2617,4.9294,0.9423,1.151,"GFF",NA,1,NA,1000,2019-10-07,1,"NPC3"
"34","COM034","09.12.2019 16:20:51",57.9107,0.442,2.8629,0.3929,0.7845,38.5288,3.1871,0.1209,0.5829,0.9752,0.2,0.9466,0.2016,1.8811,0.8788,1.0814,"GFF",NA,1,NA,1000,2019-10-07,1,"uZ1"
"35","COM035","09.12.2019 16:33:09",59.8044,0.4576,2.8035,0.2212,0.55,11.9573,1.091,0.2421,0.7152,1.2969,0.2074,0.6578,0.3012,0.9343,1.1987,1.4145,"GFF",NA,1,NA,1000,2019-10-07,1,"uZ2"
"36","COM036","09.12.2019 16:45:21",53.7036,0.4024,2.5628,0.3891,0.722,44.3071,1.0973,0.1141,0.3196,0.9531,0.1795,0.6007,0.1694,0.9939,0.8593,1.0432,"GFF",NA,1,NA,1000,2019-10-07,1,"uZ3"
"37","COM037","09.12.2019 16:57:40",58.4798,0.4305,2.8077,0.5325,0.7217,30.8428,2.4652,0.1214,0.4625,1.0582,0.2163,1.7272,0.2237,2.0939,0.9649,1.1985,"PC",0.8,2,NA,1000,2019-10-08,2,"K1"
"38","COM038","09.12.2019 17:09:57",58.3435,0.4493,2.9936,0.5224,1.5501,31.5426,5.4706,0.1896,0.8174,0.8108,0.3701,3.2202,0.2301,2.602,0.9303,1.0876,"PC",0.8,2,NA,1000,2019-10-08,2,"K2"
"39","COM039","09.12.2019 17:22:45",57.8543,0.4267,2.7965,0.2381,0.683,41.8941,1.8817,0.1054,0.4624,0.6185,0.1551,0.6513,0.1715,0.8356,0.7265,0.9674,"PC",0.8,2,NA,1000,2019-10-08,2,"K3"
"40","COM040","09.12.2019 17:34:59",60.4672,0.4536,2.8041,0.2284,0.534,12.3158,0.9885,0.2425,0.7397,1.1446,0.2038,0.5414,0.306,0.9156,1.1988,1.4194,"PC",0.8,2,NA,1000,2019-10-08,2,"NPC1"
"41","COM041","09.12.2019 17:47:09",53.7126,0.3984,2.5364,0.7187,0.7708,45.2454,0.7394,0.1049,0.4215,1.3189,0.1535,0.8796,0.1656,0.6274,0.8036,1.0498,"PC",0.8,2,NA,1000,2019-10-08,2,"NPC2"
"42","COM042","09.12.2019 17:59:30",58.504,0.436,2.7993,0.5043,0.6817,30.4446,2.5726,0.1285,0.4421,0.8691,0.2054,1.8578,0.2196,1.1101,0.8768,1.1319,"PC",0.8,2,NA,1000,2019-10-08,2,"NPC3"
"43","COM043","09.12.2019 18:11:47",59.6218,0.4407,2.8559,0.3543,0.8968,33.4968,2.7928,0.159,0.5204,0.7402,0.2353,1.848,0.2126,1.0279,0.9014,1.1329,"PC",0.8,2,NA,1000,2019-10-08,2,"uZ1"
"44","COM044","09.12.2019 18:24:02",58.7861,0.443,2.7852,0.393,0.6256,36.9667,1.2339,0.1103,0.5086,0.8998,0.1533,0.6621,0.1818,0.6244,0.8248,1.0504,"PC",0.8,2,NA,1000,2019-10-08,2,"uZ2"
"45","COM045","09.12.2019 18:36:20",60.5561,0.4573,2.7976,0.1541,0.4146,10.6119,0.799,0.2183,0.6206,1.0887,0.1988,0.4519,0.3172,0.8486,1.2658,1.4592,"PC",0.8,2,NA,1000,2019-10-08,2,"uZ3"
"46","COM046","09.12.2019 18:49:15",57.1953,0.4305,2.8636,1.4402,1.3305,43.5427,1.4761,0.1387,1.0232,2.1311,0.3292,1.2705,0.169,0.6387,0.8067,0.9976,"GFF",NA,2,NA,1000,2019-10-08,2,"K1"
"47","COM047","09.12.2019 19:01:28",57.1262,0.4366,2.8767,1.1056,1.1787,42.887,1.6508,0.1647,1.1199,1.7744,0.2648,1.4489,0.1722,0.7308,0.8257,1.0602,"GFF",NA,2,NA,1000,2019-10-08,2,"K2"
"48","COM048","09.12.2019 19:13:42",53.4625,0.4532,2.8611,19.4535,5.0849,9.8359,1.4706,0.4321,5.1418,41.5007,1.5092,2.3066,0.3392,1.0573,1.3522,1.4773,"GFF",NA,2,NA,1000,2019-10-08,2,"K3"
"49","COM049","09.12.2019 19:25:54",57.1687,0.4403,2.8829,1.4595,1.5961,43.2352,2.2735,0.4127,1.2467,2.5509,0.2597,2.3755,0.1775,0.8332,0.8012,1.0165,"GFF",NA,2,NA,1000,2019-10-08,2,"NPC1"
"50","COM050","09.12.2019 19:38:08",57.4277,0.4331,2.8513,0.5958,1.1926,43.9423,1.4789,0.3421,0.7861,1.0014,0.2233,1.2955,0.1725,0.6634,0.7845,1.0385,"GFF",NA,2,NA,1000,2019-10-08,2,"NPC2"
"51","COM051","09.12.2019 19:50:28",59.0906,0.4731,2.9614,0.5076,1.5282,12.6734,2.6553,0.944,1.2101,1.5314,0.2701,1.4913,0.3074,1.0996,1.228,1.4308,"GFF",NA,2,NA,1000,2019-10-08,2,"NPC3"
"52","COM052","09.12.2019 20:02:42",56.1808,0.4443,2.9825,2.3532,2.4739,41.7642,4.0769,0.4674,1.3857,3.0468,0.456,4.9538,0.1928,1.3391,0.8759,1.0553,"GFF",NA,2,NA,1000,2019-10-08,2,"uZ1"
"53","COM053","09.12.2019 20:14:59",59.5575,0.491,2.9521,0.4375,1.421,10.7942,1.467,0.9992,1.7691,1.4523,0.2729,1.5302,0.3225,0.9819,1.2663,1.499,"GFF",NA,2,NA,1000,2019-10-08,2,"uZ2"
"54","COM054","09.12.2019 20:27:19",57.6462,0.4714,3.1853,0.4782,1.6879,12.0622,12.6967,0.9347,1.2154,1.5304,0.2798,1.673,0.321,1.0407,1.2816,1.4567,"GFF",NA,2,NA,1000,2019-10-08,2,"uZ3"
"55","COM001","04.12.2019 10:16:35",58.0957,0.438,2.9889,0.4874,1.796,32.3646,5.6097,0.3945,1.0494,1.0383,0.536,6.6932,0.2218,2.3121,0.9362,1.13,"PC",0.8,1,NA,1000,2019-10-05,0,"K1"
"56","COM002","04.12.2019 10:28:50",54.2361,0.4313,3.3708,1.1547,4.3948,37.2398,17.5392,0.5557,1.538,1.8231,1.6871,15.9978,0.2655,4.8717,0.99,1.1368,"PC",0.8,1,NA,1000,2019-10-05,0,"K2"
"57","COM003","04.12.2019 10:41:07",59.0261,0.4458,2.8878,0.4234,1.2589,33.6267,2.6512,0.3778,0.9904,1.2301,0.3127,2.569,0.2036,1.2718,0.9044,1.143,"PC",0.8,1,NA,1000,2019-10-05,0,"K3"
"58","COM004","09.12.2019 10:31:11",0.6732,0.2268,14.299,107.0343,14.3273,78.0748,678.8313,0.2343,1.7287,7.4363,136.3577,74.1335,1.5471,10.4911,6.1234,4.7973,"PC",0.8,1,NA,1000,2019-10-05,0,"NPC1"
"59","COM005","09.12.2019 10:42:29",0.6898,0.2303,14.1138,107.2324,15.6295,77.6449,670.3665,0.2542,2.1778,14.771,133.4297,73.2044,1.5635,10.3545,6.2003,4.8308,"PC",0.8,1,NA,1000,2019-10-05,0,"NPC2"
"60","COM006","09.12.2019 10:53:21",0.5193,0.2283,14.4174,107.3082,12.6918,78.3077,681.2928,0.2312,1.4988,8.7548,134.7781,69.7336,1.5514,9.317,6.1825,4.8365,"PC",0.8,1,NA,1000,2019-10-05,0,"NPC3"
"61","COM007","09.12.2019 11:05:37",59.4081,0.4512,2.8748,0.597,1.153,31.8134,3.5226,0.387,0.9754,1.0996,0.3453,3.0616,0.2154,1.6794,0.9053,1.164,"PC",0.8,1,NA,1000,2019-10-05,0,"uZ1"
"62","COM008","09.12.2019 11:17:52",59.1417,0.4463,2.8769,0.6049,1.3433,32.5224,2.9757,0.3923,1.0278,1.0308,0.3377,3.1299,0.2175,1.4925,0.8511,1.0918,"PC",0.8,1,NA,1000,2019-10-05,0,"uZ2"
"63","COM009","09.12.2019 11:30:12",59.8983,0.4432,2.839,0.6848,0.9063,31.1494,1.876,0.3801,0.9509,1.4341,0.2533,1.019,0.2059,1.1234,0.9187,1.154,"PC",0.8,1,NA,1000,2019-10-05,0,"uZ3"
"64","COM010","09.12.2019 11:41:06",0.6498,0.2295,14.3225,107.4832,14.7198,78.4074,679.9182,0.2358,2.0198,8.825,135.7075,70.8004,1.5652,11.9047,6.1454,4.7874,"GFF",NA,1,NA,1000,2019-10-05,0,"K1"
"65","COM011","09.12.2019 11:51:58",0.6759,0.2286,14.1515,108.8952,18.1272,77.807,670.9325,0.2451,3.3495,20.2849,134.6018,69.9168,1.5611,10.7292,6.1706,4.8323,"GFF",NA,1,NA,1000,2019-10-05,0,"K2"
